test,textbox.text,mouse.x,,
b_o_l_,bootle,[],,
_ha_t,,[],,
_ey_,keys,[0.07037037037037037],,
t_hi_t,tshirt,[0.030555555555555555],,
c_s_io_,cusion,[0.011111111111111112],,
p_st_y,pastry,[0.032407407407407406],,
_a_bl_,table,[0.041666666666666664],,
p_st_r,poster,[0.041666666666666664],,
_ou_e,mouse,[-0.000925925925925926],,
c_s_,case,[-0.000925925925925926],,
t_bl_,table,[0.0],,
_oa_d,board,[0.002777777777777778],,
pe_c_l,pencil,[0.03981481481481482],,
l_pt_p,laptop,[0.007407407407407408],,
_oo_,book,[-0.009259259259259259],,
p_li_e,police,[-0.009259259259259259],,
v_s_,vase,[-0.013888888888888888],,
_ru_is_,cruise,[0.006481481481481481],,
p_on_,phone,[0.006481481481481481],,
c_me_a,camera,[0.006481481481481481],,
,,,,
,,prop hit from studt list,,0.8
,,prop hit for non primed words ,,0.5
,,,,
,,Primimg score,,0.3
