stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0244843,,0.0102955,0.0244843,0.5234688,0.5234688,0.5407571,0.7802281,left,-10,1,1,0.2373214,,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
1,2,8,0.7896372,,0.7803476,0.7896372,1.2909919,1.2909919,1.2909919,1.4289965,left,-8,1,1,0.1231942,,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
2,1,6,1.4399982,,1.4291099,1.4399982,1.9399419,1.9399419,1.9399419,2.0773316,right,6,0,0,0.1361003,,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
3,1,7,2.0893342,,2.0774125,2.0893342,2.5892307,2.5892307,2.5892307,2.6100604,left,-7,1,1,0.0083509,,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
4,1,7,2.6220686,,2.6101417,2.6220686,3.1223906,3.1223906,3.1223906,3.2907065,left,-7,1,1,0.1587736,,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
5,1,7,3.3052329,,3.2907574,3.3052329,3.8044268,3.8044268,3.8044268,4.3578072,right,7,0,0,0.5433889,4.104772,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
6,1,8,4.370622,,4.3578856,4.370622,4.8707265,4.8707265,4.8707265,5.2899499,right,8,0,0,0.4047874,5.170041,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
7,1,9,5.3030744,,5.2900199,5.3030744,5.8034586,5.8034586,5.8034586,6.1262304,right,9,0,0,0.3205238,6.1025173,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
8,1,10,6.1361196,,6.1263474,6.1361196,6.6355869,6.6355869,6.6355869,7.0574352,right,10,1,1,0.4071119,6.9355029,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
9,1,10,7.0686142,,7.057515,7.0686142,7.5686518,7.5686518,7.5686518,7.9880188,right,10,1,1,0.4037534,7.8679902,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
10,1,10,8.0010566,,7.9881011,8.0010566,8.5008322,8.5008322,8.5008322,8.6381308,left,-10,0,0,0.1339871,,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
11,1,11,8.6502064,,8.638202,8.6502064,9.1503342,9.1503342,9.1503342,10.4866014,left,-11,0,0,1.3326739,9.4498586,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
12,1,12,10.4991035,,10.4866884,10.4991035,10.998821,10.998821,10.998821,12.4000829,left,-12,0,0,1.3972405,11.298919,166269,1,2024-09-11_23h56.16.550,stair adaptive,2024.1.5,None,2024-09-11 23h56.23.966212 +0530
