stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.025377300014952198,,0.011369700019713491,0.025377300014952198,0.5622639000066556,0.5622639000066556,0.5751794000098016,0.874770800000988,1.5811743999947794,right,10.0,1,1,1.005243799998425,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
1,2,8.0,1.5906314000021666,,1.5812642000091728,1.5906314000021666,2.090302199998405,2.090302199998405,2.090302199998405,,2.277579200017499,left,-8.0,1,1,0.1821829000255093,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
2,1,6.0,2.2901320999953896,,2.2776543000072706,2.2901320999953896,2.7900747999956366,2.7900747999956366,2.7900747999956366,3.0894008000032045,3.092766500019934,left,-6.0,0,0,0.29480299999704584,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
3,1,7.0,3.1061878000036813,,3.0928401999990456,3.1061878000036813,3.6057773000211455,3.6057773000211455,3.6057773000211455,,3.8425907000200823,right,7.0,0,0,0.22111470001982525,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
4,1,8.0,3.85591340000974,,3.842684500006726,3.85591340000974,4.355465300002834,4.355465300002834,4.355465300002834,,4.410356900014449,left,-8.0,1,1,0.045274300005985424,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
5,1,8.0,4.422058500000276,,4.410448800015729,4.422058500000276,4.921395400015172,4.921395400015172,4.921395400015172,5.2214819000218995,5.207813700020779,left,-8.0,1,1,0.277054300007876,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
6,1,8.0,5.2214819000218995,,5.207888200005982,5.2214819000218995,5.720803600008367,5.720803600008367,5.720803600008367,,5.841080500016687,right,8.0,0,0,0.11166070000035688,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
7,1,9.0,5.853541899996344,,5.841154699999606,5.853541899996344,6.353319100016961,6.353319100016961,6.353319100016961,,6.456614499998977,left,-9.0,1,1,0.09590869999374263,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
8,1,9.0,6.469647100020666,,6.456694099993911,6.469647100020666,6.96941930000321,6.96941930000321,6.96941930000321,,7.172328800021205,right,9.0,0,0,0.19886879998375662,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
9,1,10.0,7.185981899994658,,7.172404300014023,7.185981899994658,7.685394700005418,7.685394700005418,7.685394700005418,,7.839255300001241,left,-10.0,1,1,0.1494393999746535,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
10,1,10.0,7.851900100009516,,7.839325700013433,7.851900100009516,8.351672799995868,8.351672799995868,8.351672799995868,,8.521972200018354,right,10.0,0,0,0.16718499999842606,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
11,1,11.0,8.535155200021109,,8.522579300013604,8.535155200021109,9.034834499994759,9.034834499994759,9.034834499994759,,9.13718429999426,right,11.0,0,0,0.08839740001712926,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
12,1,12.0,9.151624599995557,,9.137241999997059,9.151624599995557,9.650786800018977,9.650786800018977,9.667672900017351,,9.738391599996248,right,12.0,0,0,0.08388630000990815,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
13,1,13.0,9.75098490001983,,9.738529499998549,9.75098490001983,10.25026689999504,10.25026689999504,10.25026689999504,,10.419068100018194,left,-13.0,1,1,0.16232760000275448,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
14,1,13.0,10.43335870001465,,10.419121400016593,10.43335870001465,10.933306599996286,10.933306599996286,10.933306599996286,,11.00314780001645,right,13.0,0,0,0.06238270000903867,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
